ROUTE,avg_dep_delay,cancel_rate,flight_count,risk_score
DCA-BNA,5.2207920792079205,0.033663366336633666,1010,0.07642364512094357
DCA-BOS,8.002157031924073,0.01984469370146678,2318,-0.2003544225793353
DCA-CLT,17.689526184538654,0.004987531172069825,802,0.11050684975978792
DCA-CVG,8.66468253968254,0.015873015873015872,504,-0.29233995674193153
DCA-DFW,19.358374384236452,0.01847290640394089,812,0.7788287310875293
DCA-DTW,9.125748502994012,0.014970059880239521,668,-0.2850482608173837
DCA-FLL,17.096,0.013333333333333334,750,0.37635904397307807
DCA-IAH,9.78108581436077,0.014010507880910683,571,-0.2622749863985951
DCA-JFK,2.868131868131868,0.02197802197802198,546,-0.585054934118707
DCA-LGA,9.80163043478261,0.028985507246376812,1104,0.3133699623158095
DCA-MCO,14.87905604719764,0.014011799410029498,1356,0.20093940374002334
DCA-MDW,8.809338521400779,0.033073929961089495,514,0.37986846146795844
DCA-MIA,15.53877139979859,0.023162134944612285,993,0.6114784130152032
DCA-MSP,8.310679611650485,0.011650485436893204,515,-0.4862915595544677
